ID,VoxelCount,Volume(mm3),EquivDiameter(mm),CentroidX,CentroidY,CentroidZ,minX,maxX,minY,maxY,minZ,maxZ
1,53,0.0005,0.0990,5.683,15.604,1.126,264,270,725,748,53,53
2,13,0.0001,0.0620,5.684,15.928,1.126,265,269,745,753,53,53
3,22,0.0002,0.0739,5.611,15.169,1.148,260,269,708,723,54,54
4,2,0.0000,0.0332,5.759,15.226,1.148,271,271,716,717,54,54
5,2,0.0000,0.0332,5.780,15.332,1.148,272,272,721,722,54,54
6,10,0.0001,0.0568,5.506,15.502,1.148,259,260,725,734,54,54
7,17,0.0002,0.0678,5.801,15.746,1.148,273,273,733,749,54,54
8,3,0.0000,0.0380,5.497,15.704,1.148,258,259,738,740,54,54
9,2,0.0000,0.0332,5.504,15.778,1.148,259,259,742,743,54,54
10,2,0.0000,0.0332,5.504,15.842,1.148,259,259,745,746,54,54
11,26,0.0002,0.0781,5.602,16.112,1.148,260,270,748,767,54,54
12,2,0.0000,0.0332,5.780,16.118,1.148,272,272,758,759,54,54
13,1,0.0000,0.0264,5.759,16.235,1.148,271,271,764,764,54,54
14,9,0.0001,0.0548,5.653,14.899,1.169,262,270,700,703,55,55
15,3,0.0000,0.0380,5.539,15.003,1.169,260,261,705,707,55,55
16,1,0.0000,0.0264,5.759,14.981,1.169,271,271,705,705,55,55
17,1,0.0000,0.0264,5.504,15.066,1.169,259,259,709,709,55,55
18,2,0.0000,0.0332,5.780,15.077,1.169,272,272,709,710,55,55
19,1,0.0000,0.0264,5.483,15.109,1.169,258,258,711,711,55,55
20,3,0.0000,0.0380,5.461,15.194,1.169,257,257,714,716,55,55
21,2,0.0000,0.0332,5.801,15.183,1.169,273,273,714,715,55,55
22,4,0.0000,0.0419,5.445,15.311,1.169,256,257,719,722,55,55
23,3330139,31.9550,3.9371,7.173,14.032,13.473,140,591,63,1255,55,1177
24,3,0.0000,0.0380,5.419,15.428,1.169,255,255,725,727,55,55
